DATE,GEO,CATEGORY,VALUE
2021-01-01,"St. Catharines-Niagara, Ontario",house,115.7
2021-01-01,"St. John's, Newfoundland and Labrador",house,100.7
2021-01-01,"Toronto, Ontario",house,106.2
2021-01-01,"Trois-Rivières, Quebec",house,108
2021-01-01,"Vancouver, British Columbia",house,113.1
2021-01-01,"Victoria, British Columbia",house,107.8
2021-01-01,"Windsor, Ontario",house,115.3
2021-01-01,"Winnipeg, Manitoba",house,110.4
2021-02-01,Alberta,house,98.8
2021-02-01,Atlantic Region,house,107.5
2021-02-01,British Columbia,house,116.3
2021-02-01,"Calgary, Alberta",house,98.4
2021-02-01,Canada,house,111.1
2021-02-01,"Charlottetown, Prince Edward Island",house,110.2
2021-02-01,"Edmonton, Alberta",house,99.1
2021-02-01,"Greater Sudbury, Ontario",house,108.2
2021-02-01,"Guelph, Ontario",house,119
2021-02-01,"Halifax, Nova Scotia",house,112.7
2021-02-01,"Hamilton, Ontario",house,116.1
2021-02-01,"Kelowna, British Columbia",house,109.6
2021-02-01,"Kitchener-Cambridge-Waterloo, Ontario",house,126.2
2021-02-01,"London, Ontario",house,121.8
2021-02-01,Manitoba,house,112.3
2021-02-01,"Montréal, Quebec",house,123
2021-02-01,New Brunswick,house,105.5
2021-02-01,Newfoundland and Labrador,house,100.7
2021-02-01,Nova Scotia,house,112.7
2021-02-01,Ontario,house,113.7
2021-02-01,"Oshawa, Ontario",house,113.7
2021-02-01,"Ottawa-Gatineau, Ontario part, Ontario/Quebec",house,139
2021-02-01,"Ottawa-Gatineau, Quebec part, Ontario/Quebec",house,112.5
2021-02-01,Prairie Region,house,99.9
2021-02-01,Prince Edward Island,house,110.2
2021-02-01,Quebec,house,118.8
2021-02-01,"Québec, Quebec",house,111.7
2021-02-01,"Regina, Saskatchewan",house,92.7
2021-02-01,"Saint John, Fredericton, and Moncton, New Brunswick",house,105.5
2021-02-01,Saskatchewan,house,96.2
